Barentsstraat  203, Amsterdam, Netherlands
Jan Maijeraat  13, Amsterdam, Netherlands
Cremerplein 27A, Amsterdam, Netherlands
Ernest Staesstraat  5, Amsterdam, Netherlands
Tjerk Hddes de vriesstraat 13 , Amsterdam, Netherlands
Pieter van der doesstraat  15, Amsterdam, Netherlands
Wiltzanghlaan  42, Amsterdam, Netherlands
Jacob van Lennepkade 428 , Amsterdam, Netherlands
Nicolaas Beetstraat 120 , Amsterdam, Netherlands
Wachterliedplantsoen   2, Amsterdam, Netherlands
Suikerplein  97, Amsterdam, Netherlands
Kwakersplein . 4, Amsterdam, Netherlands
Bilderdijkkade 2 , Amsterdam, Netherlands
Geuzenkade 63 , Amsterdam, Netherlands
Reinier Claeszenplein   10, Amsterdam, Netherlands
Paramariboplein  37, Amsterdam, Netherlands
Curacaostraat  25, Amsterdam, Netherlands
Van Rensselaerstraat 12 , Amsterdam, Netherlands
van Kingsbergeraat 58 , Amsterdam, Netherlands
Willen de Zwijgerlaan 183 , Amsterdam, Netherlands
Bilderdijkpark 12 , Amsterdam, Netherlands
Bilderdijkpark 10 , Amsterdam, Netherlands
2e Nassaustraat Achter 10a Binnenplaats Tuin, Amsterdam, Netherlands
Mercarplein  Kiosk Westzijde, Amsterdam, Netherlands
2e coantijn Huijgeraat  30, Amsterdam, Netherlands
Jan van schaffelaarplantsoen t.h.v. leeuwendalersweg hoek s. semeyr, Amsterdam, Netherlands
Mercarplein  openbaar ilet  (oostzijde), Amsterdam, Netherlands
Westerpark ingang stadsdeelkanor langs Haarlemmertrekvaart, Amsterdam, Netherlands
van der helstplein  16, Amsterdam, Netherlands
Hercules Segherstraat 12 , Amsterdam, Netherlands
Ceintuurbaan 245  / Servaes Nautstraat, Amsterdam, Netherlands
Olympiaplein  71, Amsterdam, Netherlands
Henrick de Keijserplein  30, Amsterdam, Netherlands
Smaragdplein  5, Amsterdam, Netherlands
Vondelpark, Amsterdam, Netherlands
Vondelpark  beeld Kerwin, Amsterdam, Netherlands
Sarphatiepark  2e Jan van der Heijderaat 119, Amsterdam, Netherlands
Beatrixpark bij kinderbadje (diepenbrockstraat /boerenwetering), Amsterdam, Netherlands
Vondelpark ingang Koninginneweg 2, Amsterdam, Netherlands
Vondelpark  Zocherstraat 87, Amsterdam, Netherlands
Maarten Luther Kingpark  Zuidelijke Wandelweg, Amsterdam, Netherlands
Hobbemakade   95 / Gerard Terborghstraat, Amsterdam, Netherlands
Holtmeulen 1/3 Van Boshuizeraat, Amsterdam, Netherlands
Maarten Luther Kingpark   kabouterhuis Amsteldijk, Amsterdam, Netherlands
Museumplein bij kiosk en fontein, Amsterdam, Netherlands
Museumplein bij skatebaan, Amsterdam, Netherlands
President Kennedyplantsoen  66 / Alblasstraat, Amsterdam, Netherlands
Sarphatiepark  Sarphatiepark 22, Amsterdam, Netherlands
Vondelpark  1 ingang Stadhouderskade, Amsterdam, Netherlands
Vogelenzangseduinweg 4 , Amsterdam, Netherlands
Hoofdkanor  Korte Oude kerkedijk 7, Amsterdam, Netherlands
Amstelveenseweg 598 A Sectiepost, Amsterdam, Netherlands
Leiduin  (vogelenzangseweg 21) (nieuw bezoekerscentrum), Amsterdam, Netherlands
Leiduin Ingang oranjekom, Amsterdam, Netherlands
Leiduin Trimbaan, Amsterdam, Netherlands
Weesperkarpel (de kantine)Sectiepost, Amsterdam, Netherlands
VONDELPARK  3, Amsterdam, Netherlands
Amsterdamse Bos bosbaan (Startplaats)  wegwijzer 4 richting meerzicht, Amsterdam, Netherlands
Amsterdamse Bos P terrein Bosbaan start looproute, Amsterdam, Netherlands
Amsterdamse Bos Grote speelweide bij brug 522 naar kanoverhuur, Amsterdam, Netherlands
Amsterdamse Bos  Grote Vijver einde duizend meter wegstart Trimroute, Amsterdam, Netherlands
Amsterdamse Bos  Speelvijver ten zuiden van grote speelvijver, Amsterdam, Netherlands
Amsterdamse Bos Bosrandweg  brug 561, Amsterdam, Netherlands
Amsterdamse Bos Bosrandweg  barberqueplaats, Amsterdam, Netherlands
Amsterdamse Bos op heuvel  Kiosk, Amsterdam, Netherlands
Amsterdamse Bos Speelwijde ten zuiden van kleine vijver brug 541, Amsterdam, Netherlands
Amsterdamse Bos  nwe Meerlaan en brug 517, Amsterdam, Netherlands
Amsterdamse Bos bij paddesel 9 speelweide  kleine speelwijde, Amsterdam, Netherlands
Amsterdamse Bos  wegwijzer 8 richting heuvel  grote vijver, Amsterdam, Netherlands
Amsterdamse Bos Zonneweide, Amstelveeb, Netherlands
